date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:17	26670/26670	U--M--	200	updated ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:14:15%20GMT	http://www.barganhando.com/	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/index.html	(from )
20:14:17	894/894	---M--	200	added ('OK')	image/x-icon	etag:%223b0b81-37e-498171f70d280%22	http://www.barganhando.com/global/images/favicon.ico	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/images/favicon.ico	(from )
20:14:17	22038/22038	---M--	200	added ('OK')	text/css	etag:%224a455-5616-49d5789a74900%22	http://www.barganhando.com/global/css/style.css	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/css/style.css	(from )
20:14:18	1778/1778	---M--	200	added ('OK')	text/css	etag:%223af25b-6f2-49d578a1218c0%22	http://www.barganhando.com/global/css/validacao.css	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/css/validacao.css	(from )
20:14:18	1075/1075	---M--	200	added ('OK')	text/css	etag:%223449fa-433-49d578a7ce880%22	http://www.barganhando.com/global/css/jalert.css	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/css/jalert.css	(from )
20:14:19	558/558	---M--	200	added ('OK')	application/javascript	etag:%223b15f5-22e-498f159719980%22	http://www.barganhando.com/global/js/cufon/funcao.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/cufon/funcao.js	(from )
20:14:21	7412/7412	---M--	200	added ('OK')	application/javascript	etag:%223e9fa0-1cf4-496c3ed11d2c0%22	http://www.barganhando.com/global/js/jAlert/alerts.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/jAlert/alerts.js	(from )
20:14:21	18257/18257	---M--	200	added ('OK')	application/javascript	etag:%223b15f4-4751-49688e97f5f00%22	http://www.barganhando.com/global/js/cufon/cufon-yui.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/cufon/cufon-yui.js	(from )
20:14:21	519/519	---M--	200	added ('OK')	application/javascript	etag:%224fb3fc-207-49bc9854d2580%22	http://www.barganhando.com/global/js/jAlert/ValidaRecebe.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/jAlert/ValidaRecebe.js	(from )
20:14:21	389/389	---M--	200	added ('OK')	application/javascript	etag:%22791839-185-49a7372ee9ec0%22	http://www.barganhando.com/global/js/jAlert/ValidaConvidar.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/jAlert/ValidaConvidar.js	(from )
20:14:21	182/182	---M--	200	added ('OK')	application/javascript	etag:%223b15f0-b6-49688e88b3b00%22	http://www.barganhando.com/global/js/clear.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/clear.js	(from )
20:14:22	638/638	---M--	200	added ('OK')	application/javascript	etag:%223b1613-27e-49688e89a7d40%22	http://www.barganhando.com/global/js/fav.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/fav.js	(from )
20:14:22	887/887	---M--	200	added ('OK')	application/javascript	etag:%223b5605-377-49688e8e6c880%22	http://www.barganhando.com/global/js/pagInicial.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/pagInicial.js	(from )
20:14:22	402/402	---M--	200	added ('OK')	application/javascript	etag:%223b1612-192-49688e89a7d40%22	http://www.barganhando.com/global/js/descEmpresa.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/descEmpresa.js	(from )
20:14:22	376/376	---M--	200	added ('OK')	application/javascript	etag:%2259448f-178-49983a2fb8240%22	http://www.barganhando.com/global/js/logar.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/logar.js	(from )
20:14:23	2431/2431	---M--	200	added ('OK')	text/css	etag:%225001c3-97f-49a3772c16b80%22	http://www.barganhando.com/global/js/jqtransform/select_cidade.css	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/jqtransform/select_cidade.css	(from )
20:14:23	168/168	---M--	200	added ('OK')	application/javascript	etag:%223b560b-a8-49688e8e6c880%22	http://www.barganhando.com/global/js/scripts.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/scripts.js	(from )
20:14:23	1184/1184	---M--	200	added ('OK')	application/javascript	etag:%2259538b-4a0-4998130c6abc0%22	http://www.barganhando.com/global/js/tooltip/vtip.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/tooltip/vtip.js	(from )
20:14:23	286/286	---M--	200	added ('OK')	text/css	etag:%22595387-11e-4998130c6abc0%22	http://www.barganhando.com/global/js/tooltip/vtip.css	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/tooltip/vtip.css	(from )
20:14:24	540/540	---M--	200	added ('OK')	text/css	etag:%223aed4b-21c-498171eaa7540%22	http://www.barganhando.com/global/css/countdown.css	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/css/countdown.css	(from )
20:14:24	40598/40598	---M--	200	added ('OK')	application/javascript	etag:%223b1611-9e96-49688e98ea140%22	http://www.barganhando.com/global/js/cufon/The_Mix_Bold-_700.font.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/cufon/The_Mix_Bold-_700.font.js	(from )
20:14:24	13692/13692	---M--	200	added ('OK')	application/javascript	etag:%225001b4-357c-4979c63ecd380%22	http://www.barganhando.com/global/js/jqtransform/jquery.jqtransform.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/jqtransform/jquery.jqtransform.js	(from )
20:14:24	866/866	---M--	200	added ('OK')	application/javascript	etag:%223b42e1-362-49688e8c84400%22	http://www.barganhando.com/global/js/jquery.countdown-pt-BR.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/jquery.countdown-pt-BR.js	(from )
20:14:25	1590/1590	---M--	200	added ('OK')	text/css	etag:%22639eaa-636-4997e1c9071c0%22	http://www.barganhando.com/global/js/lightbox/lightbox.css	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/lightbox/lightbox.css	(from )
20:14:25	100/100	---M--	200	added ('OK')	application/javascript	etag:%22639e88-64-4997e1c9071c0%22	http://www.barganhando.com/global/js/lightbox/funcao.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/lightbox/funcao.js	(from )
20:14:25	0/0	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:14:25%20GMT	http://www.barganhando.com/global/incs/timer.php	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/incs/timer.html	(from )
20:14:26	677/677	---M--	200	added ('OK')	application/javascript	etag:%22796ef3-2a5-49ab1e81dd240%22	http://www.barganhando.com/global/js/mapa.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/mapa.js	(from )
20:14:26	859/859	---M--	200	added ('OK')	application/javascript	etag:%227f3a3c-35b-49bb5490fca00%22	http://www.barganhando.com/global/js/tela_inicio.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/tela_inicio.js	(from )
20:14:26	2253/2253	---M--	200	added ('OK')	text/css	etag:%227f611c-8cd-49bb54ae8cfc0%22	http://www.barganhando.com/global/css/inicio.css	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/css/inicio.css	(from )
20:14:27	19688/19688	---M--	200	added ('OK')	application/javascript	etag:%22639ed5-4ce8-49a0ad6446680%22	http://www.barganhando.com/global/js/lightbox/lightbox.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/lightbox/lightbox.js	(from )
20:14:28	29972/29972	---M--	200	added ('OK')	application/javascript	etag:%223b4345-7514-49688e8c84400%22	http://www.barganhando.com/global/js/jquery.countdown.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/jquery.countdown.js	(from )
20:14:28	26670/26670	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:14:26%20GMT	http://www.barganhando.com/index.php	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/index-2.html	(from )
20:14:29	255/255	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2028%20Feb%202011%2023:14:29%20GMT	http://www.barganhando.com/seja-nosso-parceiro	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/seja-nosso-parceiro.23.delayed	(from )
20:14:29	29675/29675	U--M--	200	updated ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:14:29%20GMT	http://www.barganhando.com/ofertas-recentes/	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/ofertas-recentes/index.html	(from )
20:14:30	1953/1953	---M--	200	added ('OK')	text/css	etag:%223aed9b-7a1-49ac037b74a80%22	http://www.barganhando.com/global/css/ofertas-antigas.css	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/css/ofertas-antigas.css	(from )
20:14:30	9394/9394	---M--	200	added ('OK')	image/jpeg	etag:%2295933b-24b2-49d201bd06880%22	http://www.barganhando.com/files/imgs/empresa_345a50fa49bd2419c317f5ef751c60fa.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/empresa_345a50fa49bd2419c317f5ef751c60fa.jpg	(from )
20:14:30	29675/29675	---M--	200	added ('OK')	text/html	date:Mon,%2028%20Feb%202011%2023:14:30%20GMT	http://www.barganhando.com/ofertas-recentes/index.php	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/ofertas-recentes/index-2.html	(from )
20:14:32	9084/9084	---M--	200	added ('OK')	image/jpeg	etag:%228dbe00-237c-49ce607ac8300%22	http://www.barganhando.com/files/imgs/media_f97f8a4499c3f5d883dcd5f3e505f9b5.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_f97f8a4499c3f5d883dcd5f3e505f9b5.jpg	(from )
20:14:32	11571/11571	---M--	200	added ('OK')	image/jpeg	etag:%22937cfd-2d33-49d0ba6a6e840%22	http://www.barganhando.com/files/imgs/media_d3ff00804e4343a6d112aeb5420c2448.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_d3ff00804e4343a6d112aeb5420c2448.jpg	(from )
20:14:35	14200/14200	---M--	200	added ('OK')	image/jpeg	etag:%227e7349-3778-49c9335a56540%22	http://www.barganhando.com/files/imgs/media_6e33c451f1bd79c029f1c6b6f60ba960.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_6e33c451f1bd79c029f1c6b6f60ba960.jpg	(from )
20:14:35	14014/14014	---M--	200	added ('OK')	image/jpeg	etag:%2281842e-36be-49c7a7a9e9900%22	http://www.barganhando.com/files/imgs/media_69e333fc4510a21526166dbd84a28087.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_69e333fc4510a21526166dbd84a28087.jpg	(from )
20:14:37	11450/11450	---M--	200	added ('OK')	image/jpeg	etag:%228223fd-2cba-49c07721c3d00%22	http://www.barganhando.com/files/imgs/media_4d8e6430d3767253347ca73e29664e60.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_4d8e6430d3767253347ca73e29664e60.jpg	(from )
20:14:37	9989/9989	---M--	200	added ('OK')	image/jpeg	etag:%22811dbd-2705-49bf61034d2c0%22	http://www.barganhando.com/files/imgs/media_8306e8ac767976a01a54965fa85c7df4.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_8306e8ac767976a01a54965fa85c7df4.jpg	(from )
20:14:39	163855/163855	---M--	200	added ('OK')	application/javascript	etag:%223b42da-2800f-49688e8b901c0%22	http://www.barganhando.com/global/js/jquery-1.4.2.js	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/global/js/jquery-1.4.2.js	(from )
20:14:39	8472/8472	---M--	200	added ('OK')	image/jpeg	etag:%22229864-2118-49b7471498d80%22	http://www.barganhando.com/files/imgs/media_9d3229e1912336bf0fdb9d7695864d94.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_9d3229e1912336bf0fdb9d7695864d94.jpg	(from )
20:14:39	11887/11887	---M--	200	added ('OK')	image/jpeg	etag:%227fbcae-2e6f-49bcaf93bfd80%22	http://www.barganhando.com/files/imgs/media_3fad523e83dc569d1d2be0cdeb5bc399.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_3fad523e83dc569d1d2be0cdeb5bc399.jpg	(from )
20:14:39	74739/74739	---M--	200	added ('OK')	image/jpeg	etag:%22958b50-123f3-49d204f500080%22	http://www.barganhando.com/files/imgs/grande_950f1e18518275856aec2f176a78e4fe.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/grande_950f1e18518275856aec2f176a78e4fe.jpg	(from )
20:14:40	10037/10037	---M--	200	added ('OK')	image/jpeg	etag:%227e5b16-2735-49b6658a4afc0%22	http://www.barganhando.com/files/imgs/media_b5e1ab44649a6a2897d21d631f325210.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_b5e1ab44649a6a2897d21d631f325210.jpg	(from )
20:14:40	14255/14255	---M--	200	added ('OK')	image/jpeg	etag:%22faad3-37af-49b3ecba97280%22	http://www.barganhando.com/files/imgs/media_fe1f0c0d8245956c24d86ac3050aa5e9.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_fe1f0c0d8245956c24d86ac3050aa5e9.jpg	(from )
20:14:40	13198/13198	---M--	200	added ('OK')	image/jpeg	etag:%227c2a34-338e-49b157eb12640%22	http://www.barganhando.com/files/imgs/media_a8f516a1c025155e9ae8473529ef9e9a.jpg	C:/My%20Web%20Sites/Barganhando/www.barganhando.com/files/imgs/media_a8f516a1c025155e9ae8473529ef9e9a.jpg	(from )
